/home/svu/e1723892/.conda/envs/eQMARL_SLAM/lib/python3.9/site-packages/google/api_core/__init__.py:20: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution
2026-07-28 23:06:30.395229: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-07-28 23:06:30.995282: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 43525 MB memory:  -> device: 0, name: NVIDIA A40, pci bus id: 0000:0a:00.0, compute capability: 8.6
Loading experiment: experiments/active_slam_maa2c_sctde.yml
Training session start at 2026-07-28T23:06:31.365096
Training for 1000 episodes, press 'Ctrl+C' to terminate early

  0%|          | 0/1000 [00:00<?, ?episode/s]
Episode 0:   0%|          | 0/1000 [00:00<?, ?episode/s]2026-07-28 23:06:33.586827: I tensorflow/stream_executor/cuda/cuda_blas.cc:1774] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.

Episode 0:   0%|          | 0/1000 [00:12<?, ?episode/s, collisions=12, coverage=0.764, episode_reward=[3.867832 3.867832], occupancy_iou=0.426, path_length=61, pose_rmse=0.792, pose_uncertainty=0.242, redundant_coverage=0.0392, success=0]
Episode 1:   0%|          | 0/1000 [00:12<?, ?episode/s, collisions=12, coverage=0.764, episode_reward=[3.867832 3.867832], occupancy_iou=0.426, path_length=61, pose_rmse=0.792, pose_uncertainty=0.242, redundant_coverage=0.0392, success=0]
Episode 1:   0%|          | 1/1000 [00:12<3:22:14, 12.15s/episode, collisions=12, coverage=0.764, episode_reward=[3.867832 3.867832], occupancy_iou=0.426, path_length=61, pose_rmse=0.792, pose_uncertainty=0.242, redundant_coverage=0.0392, success=0]
Episode 1:   0%|          | 1/1000 [00:12<3:22:14, 12.15s/episode, collisions=12, coverage=0.764, episode_reward=[3.867832 3.867832], occupancy_iou=0.426, path_length=61, pose_rmse=0.792, pose_uncertainty=0.242, redundant_coverage=0.0392, success=0]
Episode 1:   0%|          | 1/1000 [00:20<3:22:14, 12.15s/episode, collisions=7, coverage=0.831, episode_reward=[2.951509 2.951509], occupancy_iou=0.448, path_length=79, pose_rmse=1.75, pose_uncertainty=0.252, redundant_coverage=0.194, success=0]   
Episode 2:   0%|          | 1/1000 [00:20<3:22:14, 12.15s/episode, collisions=7, coverage=0.831, episode_reward=[2.951509 2.951509], occupancy_iou=0.448, path_length=79, pose_rmse=1.75, pose_uncertainty=0.252, redundant_coverage=0.194, success=0]
Episode 2:   0%|          | 2/1000 [00:20<2:44:06,  9.87s/episode, collisions=7, coverage=0.831, episode_reward=[2.951509 2.951509], occupancy_iou=0.448, path_length=79, pose_rmse=1.75, pose_uncertainty=0.252, redundant_coverage=0.194, success=0]
Episode 2:   0%|          | 2/1000 [00:20<2:44:06,  9.87s/episode, collisions=7, coverage=0.831, episode_reward=[2.951509 2.951509], occupancy_iou=0.448, path_length=79, pose_rmse=1.75, pose_uncertainty=0.252, redundant_coverage=0.194, success=0]
Episode 2:   0%|          | 2/1000 [00:24<2:44:06,  9.87s/episode, collisions=8, coverage=0.906, episode_reward=[3.5682135 3.5682135], occupancy_iou=0.44, path_length=55, pose_rmse=0.721, pose_uncertainty=0.283, redundant_coverage=0.19, success=1]
Episode 3:   0%|          | 2/1000 [00:24<2:44:06,  9.87s/episode, collisions=8, coverage=0.906, episode_reward=[3.5682135 3.5682135], occupancy_iou=0.44, path_length=55, pose_rmse=0.721, pose_uncertainty=0.283, redundant_coverage=0.19, success=1]
Episode 3:   0%|          | 3/1000 [00:24<2:02:08,  7.35s/episode, collisions=8, coverage=0.906, episode_reward=[3.5682135 3.5682135], occupancy_iou=0.44, path_length=55, pose_rmse=0.721, pose_uncertainty=0.283, redundant_coverage=0.19, success=1]
Episode 3:   0%|          | 3/1000 [00:24<2:02:08,  7.35s/episode, collisions=8, coverage=0.906, episode_reward=[3.5682135 3.5682135], occupancy_iou=0.44, path_length=55, pose_rmse=0.721, pose_uncertainty=0.283, redundant_coverage=0.19, success=1]
Episode 3:   0%|          | 3/1000 [00:32<2:02:08,  7.35s/episode, collisions=38, coverage=0.812, episode_reward=[-0.6694125 -0.6694125], occupancy_iou=0.349, path_length=81, pose_rmse=2.13, pose_uncertainty=0.245, redundant_coverage=0.513, success=0]
Episode 4:   0%|          | 3/1000 [00:32<2:02:08,  7.35s/episode, collisions=38, coverage=0.812, episode_reward=[-0.6694125 -0.6694125], occupancy_iou=0.349, path_length=81, pose_rmse=2.13, pose_uncertainty=0.245, redundant_coverage=0.513, success=0]
Episode 4:   0%|          | 4/1000 [00:32<2:06:42,  7.63s/episode, collisions=38, coverage=0.812, episode_reward=[-0.6694125 -0.6694125], occupancy_iou=0.349, path_length=81, pose_rmse=2.13, pose_uncertainty=0.245, redundant_coverage=0.513, success=0]
Episode 4:   0%|          | 4/1000 [00:32<2:06:42,  7.63s/episode, collisions=38, coverage=0.812, episode_reward=[-0.6694125 -0.6694125], occupancy_iou=0.349, path_length=81, pose_rmse=2.13, pose_uncertainty=0.245, redundant_coverage=0.513, success=0]
Episode 4:   0%|          | 4/1000 [00:40<2:06:42,  7.63s/episode, collisions=26, coverage=0.767, episode_reward=[-0.5261696 -0.5261696], occupancy_iou=0.412, path_length=99, pose_rmse=3.85, pose_uncertainty=0.332, redundant_coverage=0.157, success=0]
Episode 5:   0%|          | 4/1000 [00:40<2:06:42,  7.63s/episode, collisions=26, coverage=0.767, episode_reward=[-0.5261696 -0.5261696], occupancy_iou=0.412, path_length=99, pose_rmse=3.85, pose_uncertainty=0.332, redundant_coverage=0.157, success=0]
Episode 5:   0%|          | 5/1000 [00:40<2:04:05,  7.48s/episode, collisions=26, coverage=0.767, episode_reward=[-0.5261696 -0.5261696], occupancy_iou=0.412, path_length=99, pose_rmse=3.85, pose_uncertainty=0.332, redundant_coverage=0.157, success=0]
Episode 5:   0%|          | 5/1000 [00:40<2:04:05,  7.48s/episode, collisions=26, coverage=0.767, episode_reward=[-0.5261696 -0.5261696], occupancy_iou=0.412, path_length=99, pose_rmse=3.85, pose_uncertainty=0.332, redundant_coverage=0.157, success=0]
Episode 5:   0%|          | 5/1000 [00:48<2:04:05,  7.48s/episode, collisions=11, coverage=0.727, episode_reward=[0.9940661 0.9940661], occupancy_iou=0.396, path_length=46, pose_rmse=3.55, pose_uncertainty=0.263, redundant_coverage=0.387, success=0]  
Episode 6:   0%|          | 5/1000 [00:48<2:04:05,  7.48s/episode, collisions=11, coverage=0.727, episode_reward=[0.9940661 0.9940661], occupancy_iou=0.396, path_length=46, pose_rmse=3.55, pose_uncertainty=0.263, redundant_coverage=0.387, success=0]
Episode 6:   1%|          | 6/1000 [00:48<2:11:27,  7.93s/episode, collisions=11, coverage=0.727, episode_reward=[0.9940661 0.9940661], occupancy_iou=0.396, path_length=46, pose_rmse=3.55, pose_uncertainty=0.263, redundant_coverage=0.387, success=0]
Episode 6:   1%|          | 6/1000 [00:48<2:11:27,  7.93s/episode, collisions=11, coverage=0.727, episode_reward=[0.9940661 0.9940661], occupancy_iou=0.396, path_length=46, pose_rmse=3.55, pose_uncertainty=0.263, redundant_coverage=0.387, success=0]
Episode 6:   1%|          | 6/1000 [00:57<2:11:27,  7.93s/episode, collisions=1, coverage=0.533, episode_reward=[-0.58975285 -0.58975285], occupancy_iou=0.554, path_length=23, pose_rmse=1.07, pose_uncertainty=0.324, redundant_coverage=0.353, success=0]
Episode 7:   1%|          | 6/1000 [00:57<2:11:27,  7.93s/episode, collisions=1, coverage=0.533, episode_reward=[-0.58975285 -0.58975285], occupancy_iou=0.554, path_length=23, pose_rmse=1.07, pose_uncertainty=0.324, redundant_coverage=0.353, success=0]
Episode 7:   1%|          | 7/1000 [00:57<2:16:12,  8.23s/episode, collisions=1, coverage=0.533, episode_reward=[-0.58975285 -0.58975285], occupancy_iou=0.554, path_length=23, pose_rmse=1.07, pose_uncertainty=0.324, redundant_coverage=0.353, success=0]
Episode 7:   1%|          | 7/1000 [00:57<2:16:12,  8.23s/episode, collisions=1, coverage=0.533, episode_reward=[-0.58975285 -0.58975285], occupancy_iou=0.554, path_length=23, pose_rmse=1.07, pose_uncertainty=0.324, redundant_coverage=0.353, success=0]
Episode 7:   1%|          | 7/1000 [01:06<2:16:12,  8.23s/episode, collisions=3, coverage=0.637, episode_reward=[0.50202197 0.50202197], occupancy_iou=0.4, path_length=24, pose_rmse=1.12, pose_uncertainty=0.291, redundant_coverage=0.384, success=0]    
Episode 8:   1%|          | 7/1000 [01:06<2:16:12,  8.23s/episode, collisions=3, coverage=0.637, episode_reward=[0.50202197 0.50202197], occupancy_iou=0.4, path_length=24, pose_rmse=1.12, pose_uncertainty=0.291, redundant_coverage=0.384, success=0]
Episode 8:   1%|          | 8/1000 [01:06<2:17:18,  8.30s/episode, collisions=3, coverage=0.637, episode_reward=[0.50202197 0.50202197], occupancy_iou=0.4, path_length=24, pose_rmse=1.12, pose_uncertainty=0.291, redundant_coverage=0.384, success=0]
Episode 8:   1%|          | 8/1000 [01:06<2:17:18,  8.30s/episode, collisions=3, coverage=0.637, episode_reward=[0.50202197 0.50202197], occupancy_iou=0.4, path_length=24, pose_rmse=1.12, pose_uncertainty=0.291, redundant_coverage=0.384, success=0]
Episode 8:   1%|          | 8/1000 [01:15<2:17:18,  8.30s/episode, collisions=1, coverage=0.458, episode_reward=[0.21025318 0.21025318], occupancy_iou=0.528, path_length=9, pose_rmse=0.437, pose_uncertainty=0.249, redundant_coverage=0.565, success=0]
Episode 9:   1%|          | 8/1000 [01:15<2:17:18,  8.30s/episode, collisions=1, coverage=0.458, episode_reward=[0.21025318 0.21025318], occupancy_iou=0.528, path_length=9, pose_rmse=0.437, pose_uncertainty=0.249, redundant_coverage=0.565, success=0]
Episode 9:   1%|          | 9/1000 [01:15<2:23:09,  8.67s/episode, collisions=1, coverage=0.458, episode_reward=[0.21025318 0.21025318], occupancy_iou=0.528, path_length=9, pose_rmse=0.437, pose_uncertainty=0.249, redundant_coverage=0.565, success=0]
Episode 9:   1%|          | 9/1000 [01:15<2:23:09,  8.67s/episode, collisions=1, coverage=0.458, episode_reward=[0.21025318 0.21025318], occupancy_iou=0.528, path_length=9, pose_rmse=0.437, pose_uncertainty=0.249, redundant_coverage=0.565, success=0]
Episode 9:   1%|          | 9/1000 [01:25<2:23:09,  8.67s/episode, collisions=0, coverage=0.794, episode_reward=[1.0380201 1.0380201], occupancy_iou=0.512, path_length=11, pose_rmse=1.14, pose_uncertainty=0.272, redundant_coverage=0.0483, success=0] 
